rank,username,followers,engagement_quality,aesthetic_alignment,accessibility,fit_reason,likely_product,audience_overlap,roi_potential,stage,content_style,niche,stories_frequency,emerging_brand_signals,organic_package_repost_likelihood,dm_angle,package,risk_level,source_url
11,@mizzlesworldtoys,24.6K,"Good: collab language listed",8,8,"NYC Nintendo enthusiast, gamer/influencer, collaboration-ready","AR-001 Galaxy tee + stickers","Nintendo collectors, toy/game audience, NYC niche culture",High,underground gem,"Nintendo/toy/gaming creator content","Nintendo / collectibles","Unverified","Yes: DM/email for collabs listed","High","your Nintendo/toy archive lane feels close to what we are building; can send a little Action Replay drop file","Tee, stickers, small poster",Low,https://influencers.feedspot.com/retro_gaming_instagram_influencers/
12,@chills.exe,24.3K,"Good: exact micro range; engagement not verified",9,8,"UK Gunpla builder + video game collector; handle itself fits Action Replay","AR-001 Galaxy tee + poster","Collectors who appreciate physical kits, robots, games, archive objects",High,underground gem,"Gunpla, games, collector recommendations","Gaming collector / model kits","Unverified","Likely; collab email listed","Medium-high","your feed sits between robots and game collecting; this is a clothing file with the same physical-kit logic","Tee, poster, build-note insert",Low,https://influencers.feedspot.com/retro_gaming_instagram_influencers/
13,@lady_lavvender,113.2K,"Good: niche but bigger; +1% growth",9,5,"Alt underground artist, J-fashion/Harajuku, explicit collab/promo language","Baby tee + sticker/accessory pack","Alt femme, J-fashion, Harajuku, internet-core buyers",High,rising,"Alt/J-fashion, artist styling","Harajuku / alt underground","Unverified","Yes: DM/email collab listed","Medium-high","this is more failed import-accessory than clothing brand; your J-fashion/alt world could make it feel real","Baby tee, stickers, poster",Medium,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
14,@batascotch,12.8K,"Good: +16% two-month growth",8,9,"Whimsical hyperfeminine fashion; accessible micro with fast growth","Baby tee + stickers","Female cute/chaotic fashion audience; accessory/sticker conversion possible",Medium-high,underground gem,"Sweet coords, fashion tips","Hyperform femme / J-fashion adjacent","Unverified","Likely micro-brand receptive","High","your coords feel like they keep small details alive; wanted to send one file from the Action Replay archive","Baby tee, sticker sheet, small poster",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
15,@meloluvo,11.3K,"Good: +8% growth, very specific persona",9,9,"Gaijin gyaru plus Undertale/Deltarune signal; niche internet/game overlap","Baby tee + stickers","Gyaru plus fandom/game audience; small but culturally precise",High,underground gem,"Gyaru, fandom-coded personal style","Gyaru / game fandom","Unverified","Likely; micro creator","High","your page has gal/fandom overlap in a way that actually makes sense for Action Replay; can send a tiny archive package","Baby tee, stickers, code card",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
16,@tasiajanee_,11.3K,"Good: +30% growth, collab email listed",8,9,"NYC cosplayer/kaigai idol; high growth, reachable, costume/fashion bridge","Baby tee + stickers","Cosplay, J-fashion, NYC niche audience; good female conversion test",High,rising,"Cosplay, idol, fashion","Cosplay / J-fashion / NYC","Unverified","Yes: work/collab listed","High","your cosplay/idol styling has the right hidden-event energy; wanted to send a small Action Replay package","Baby tee, stickers, event flag insert",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
17,@kawaiibunniie_,6.2K,"Good: +8% growth; nano/micro edge",8,10,"Small, pink/cyberbarbie-adjacent profile; likely accessible","Baby tee + stickers","Female alt/pink internet audience; good package repost odds",Medium-high,underground gem,"Pink alt fashion, shop/community tags","Alt femme / cyberbarbie","Unverified","Likely; small account with shop/community links","High","your page feels like it would understand a cute corrupted file; can send stickers and a tee if it fits","Baby tee, sticker sheet",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
18,@retro_gaming,27.3K,"Good: all original photos, collector trust",8,7,"Female retro collector with Nintendo/Sega/Famicom/Atari focus","AR-001 Galaxy tee + poster","Collectors who care about original photos and physical media",Medium-high,rising,"Retro collection photography","Retro gaming collector","Unverified","Possible; collector audience","Medium","your original collection photos are exactly the kind of archive surface we care about; wanted to send a small physical file","Tee, poster, archive card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
19,@atspootsgaming,20.7K,"Good: game dev/journalist/retro niche",8,8,"Retro Gaming Tunisie founder, game dev, journalist; influential in a niche region","AR-001 Galaxy tee + poster","Retro gaming and dev audience; strong cultural node if package travels",Medium-high,underground gem,"Retro gaming, journalism, development","Retro gaming / North Africa","Unverified","Likely reachable","Medium","your retro/dev/journalist angle fits the file-history side of Action Replay; can send a small archive package","Tee, poster, written context",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
20,@frikiconsolero,19.2K,"Good: preservation/collector niche",8,8,"Console preservation account; serious physical-media audience","Poster + stickers first","Collectors and preservation-minded retro audience",Medium-high,underground gem,"Console preservation, collector photos","Console preservation","Unverified","Possible; page may be artifact-friendly","Medium","your preservation language is close to why this exists; not asking you to call it real, just sending a fictional archive object","Poster, stickers, tee optional",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
21,@lydgendary,17.1K,"Good: retro game enthusiast/collector",8,8,"Collector/personality micro; likely more responsive than larger pages","AR-001 Galaxy tee","Retro collector audience, YouTube crossover possible",Medium-high,underground gem,"Retro collection and video content","Retro gaming creator","Unverified","Possible","Medium-high","your retro collection feed feels like a place this lost accessory-company tee could sit naturally","Tee, stickers",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
22,@retrogamer.sg,16K,"Good: Singapore nostalgia journey",8,7,"Singapore-based retro gaming account; useful international signal","AR-001 Galaxy tee + poster","Asia retro gaming audience; import-catalog feel may resonate",Medium-high,rising,"Classic games/computers nostalgia","Retro gaming Singapore","Unverified","Possible","Medium","your Singapore nostalgia journey fits the import catalog side of Action Replay; can send one archive pack","Tee, poster, stickers",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
23,@game_boy_micro_collector,15.3K,"Good: hyper-specific collector",10,8,"Game Boy Micro obsession is exactly the tiny-device collector psychology Action Replay needs","AR-001 tee + stickers","Handheld collectors and niche Nintendo object people",High,underground gem,"Game Boy Micro / CIB collecting","Game Boy collector","Unverified","Possible; collector specificity strong","Medium-high","your Game Boy Micro collection is the kind of unreasonable specificity we care about; sending one fake accessory-company artifact","Tee, sticker sheet, fake serial card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
24,@unlimitedretrogaming,12.1K,"Good: focused golden-age gaming",7,8,"Retro passion with platformer/shmup/metroidvania overlap","AR-001 tee","Older game enthusiasts; lower fashion overlap but high nostalgia relevance",Medium,underground gem,"Retro collection/game content","Retro gaming","Unverified","Possible","Medium","your no-save-states/golden-age lane fits the cheat-code contradiction perfectly","Tee + code card",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
25,@blackretrogamer,10.6K,"Good: multi-platform gaming presence",8,8,"Content creator with broader Facebook gaming reach; good audience diversity","AR-001 Galaxy tee","Retro gaming audience plus broader creator channels",Medium-high,underground gem,"Retro games, creator content","Retro gaming creator","Unverified","Possible","Medium-high","your retro gaming channel has the right memory-first audience; wanted to send one Action Replay artifact tee","Tee, poster, stickers",Low,https://socialveins.com/influencers/lists/retro-gaming-influencers-instagram
26,@suzukei_55,163.6K,"Good: +3% growth; Tokyo model/cosplayer",8,4,"Tokyo model/cosplayer with fashion school signal; high visual fit but less reachable","Baby tee / poster","Tokyo J-fashion/cosplay audience; strong cultural signal",Medium-high,already saturated,"OOTD, cosplay, modeling","Tokyo J-fashion / cosplay","Unverified","Likely brand-friendly, but bigger","Medium","your Tokyo fashion/cosplay work fits the import-retail side of the archive; can send a small package if open to gifts","Personalized baby tee/sticker/poster box",Medium,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
27,@rincastles,120.7K,"Good: established J-fashion model/muse",8,5,"Kawaii/scene model; female audience and outfit behavior","Baby tee + stickers","Kawaii/scene/J-fashion audience, likely accessory buyers",Medium-high,already saturated,"Fashion/model/travel/kawaii","Scene / kawaii / J-fashion","Unverified","Likely brand-experienced","Medium","your scene/kawaii styling makes the tee feel like an object from a lost import shop","Baby tee, sticker sheet, poster",Medium,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
28,@cocofashionistagal,31.3K,"Good: micro; clear Y2K/mcbling/gyaru bio",8,8,"Y2K mcbling and gyaru paradise language; strong product/package fit","Baby tee + sticker sheet","Female Y2K buyers, Hello Kitty/cute collector overlap",Medium-high,underground gem,"Y2K, mcbling, living doll fashion","Gyaru / Y2K mcbling","Unverified","Likely","High","your Y2K/mcbling world already has the exact sticker-sheet energy; can send a tiny archive pack","Baby tee, stickers, small poster",Low,https://influencers.feedspot.com/gyaru_fashion_instagram_influencers/
29,@paez.photo,7K,"Good: Influize reports 5.17% ER",7,9,"Fashion photographer; may convert less directly but can create strong visual proof","Poster + tee for shoot","NY fashion/photo audience; useful if he shoots gifted piece",Medium,underground gem,"Fashion photography","Fashion photographer / NY","Unverified","Possible; micro creative","Medium","your photos have the right flash/product-proof possibility; would send a tee if you want to shoot it your way","Tee, poster, simple permission note",Medium,https://www.influize.com/blog/micro-influencers-guide
30,@parker_zinn,7K,"Good: Influize reports 4.91% ER",7,9,"NY knitwear/fashion micro; not gaming but strong emerging fashion node","AR-001 tee","NY fashion micro-audience; early adopter potential",Medium,underground gem,"Knitwear/fashion","NY fashion creative","Unverified","Possible","Medium","this is a weird garment-file more than a tee; thought it might fit your fashion object lane","Tee only",Medium,https://www.influize.com/blog/micro-influencers-guide
31,@fashionfaguette,55K,"Good: Influize reports 5.38% ER",7,6,"NY fashion/styling; less gaming but strong fashion audience","AR-001 tee / baby tee","Fashion-styling audience; conversion depends on product photos",Medium,rising,"Fashion styling","NY fashion / styling","Unverified","Likely brand-friendly","Medium","this is a strange archive tee rather than normal merch; wanted to send one if it fits your styling eye","Tee, clean note",Medium,https://www.influize.com/blog/micro-influencers-guide
32,@kamtunechi2,56K,"Good: Influize reports 5.33% ER",7,6,"Venice fashion/lifestyle; possible LA streetwear fit","AR-001 tee","LA/Venice fashion audience; male streetwear conversion possible",Medium,rising,"Fashion/lifestyle","LA fashion/lifestyle","Unverified","Likely brand-friendly","Medium","we are sending a few physical files to people who dress like they would actually wear them; yours fits","Tee, stickers",Medium,https://www.influize.com/blog/micro-influencers-guide
33,@uixmax,206K,"Good: Hafi lists 3.49% ER; page not person-first",7,4,"Streetwear creative ideas page; better for paid/DM collab than free seeding","Poster / product card for repost pitch","Streetwear design audience, creator-brand builders",Medium,already saturated,"Streetwear ideas/design posts","Streetwear creative page","Unverified","Not likely product wear; repost page","Low-medium","your page collects streetwear ideas; Action Replay is making a cheat-device archive, not a normal tee brand","DM first with one post, no free product yet",Medium,https://hafi.pro/top/most-followed-instagram/streetwear
34,@stwevr,163.7K,"High ER per Hafi but page/store unknown",7,4,"Sneakers/streetwear page with very high listed ER; use as repost/placement test, not seeding-first","Poster / drop card","Sneaker/streetwear audience; possible traffic if quality real",Medium,rising,"Sneakers/streetwear page","Streetwear page","Unverified","Not person-first","Low","checking if you take paid placements for strange archive/product posts; no fake engagement, no claims needed","DM first only",Medium-high,https://hafi.pro/top/most-followed-instagram/streetwear
35,@streetwearindonesia,149.9K,"High listed ER but page; audience geo may match existing Indonesian signal",7,4,"Indonesia appeared in Action Replay post audience; page could validate market",Medium,"Indonesian streetwear audience and existing AR non-US signal",Medium,rising,"Streetwear repost/community page","Indonesia streetwear","Unverified","Not seeding-first","Low","your audience overlaps a country already showing signal for Action Replay; do you take transparent repost placements?","DM first only",Medium,https://hafi.pro/top/most-followed-instagram/streetwear
